A;R;T;RT;TR
0;0.147243651;0.852756349;1;-7.99E-15
1;0.147287647;0.852712353;1;9.99E-15
2;0.147419729;0.852580271;1;2.29E-14
3;0.147640175;0.852359825;1;5.28E-14
4;0.14794945;0.85205055;1;2.98E-14
5;0.148348208;0.851651792;1;9.21E-15
6;0.148837294;0.851162706;1;5.44E-15
7;0.149417746;0.850582254;1;2.40E-14
8;0.1500908;0.8499092;1;1.22E-15
9;0.150857892;0.849142108;1;-6.66E-15
10;0.151720665;0.848279335;1;7.77E-16
11;0.152680973;0.847319027;1;9.33E-15
12;0.153740888;0.846259112;1;1.52E-14
13;0.154902704;0.845097296;1;-6.75E-14
14;0.156168945;0.843831055;1;-2.22E-15
15;0.157542374;0.842457626;1;7.11E-15
16;0.159025998;0.840974002;1;-5.77E-15
17;0.160623082;0.839376918;1;-3.55E-14
18;0.16233715;0.83766285;1;-6.59E-14
19;0.164172004;0.835827996;1;-8.44E-15
20;0.166131729;0.833868271;1;3.82E-14
21;0.168220707;0.831779293;1;-1.02E-14
22;0.170443626;0.829556374;1;5.33E-15
23;0.172805498;0.827194502;1;8.55E-15
24;0.175311669;0.824688331;1;-1.51E-14
25;0.177967834;0.822032166;1;4.17E-14
26;0.180780052;0.819219948;1;6.35E-14
27;0.183754765;0.816245235;1;-1.29E-14
28;0.186898811;0.813101189;1;-1.31E-14
29;0.190219447;0.809780553;1;-4.44E-15
30;0.193724362;0.806275638;1;-1.51E-14
31;0.197421702;0.802578298;1;3.38E-14
32;0.201320091;0.798679909;1;-1.93E-14
33;0.205428648;0.794571352;1;-5.55E-15
34;0.209757018;0.790242982;1;7.02E-14
35;0.214315388;0.785684612;1;-6.66E-16
36;0.21911452;0.78088548;1;5.33E-15
37;0.224165769;0.775834231;1;3.63E-14
38;0.229481116;0.770518884;1;-4.57E-14
39;0.23507319;0.76492681;1;4.74E-14
40;0.240955298;0.759044702;1;1.33E-13
41;0.247141447;0.752858553;1;-2.33E-14
42;0.253646371;0.746353629;1;2.98E-14
43;0.260485553;0.739514447;1;6.02E-14
44;0.26767524;0.73232476;1;-2.51E-14
45;0.275232462;0.724767538;1;-3.73E-14
46;0.283175033;0.716824967;1;7.55E-15
47;0.291521551;0.708478449;1;-4.75E-14
48;0.300291382;0.699708618;1;-5.86E-14
49;0.309504627;0.690495373;1;-5.73E-14
50;0.319182073;0.680817927;1;-6.11E-14
51;0.329345102;0.670654898;1;-2.49E-14
52;0.340015568;0.659984432;1;1.11E-14
53;0.3512156;0.6487844;1;-5.51E-14
54;0.362967289;0.637032711;1;4.04E-14
55;0.375292128;0.624707872;1;-1.22E-14
56;0.388209857;0.611790143;1;-2.24E-14
57;0.401735375;0.598264625;1;-3.44E-14
58;0.415867148;0.584132852;1;-7.44E-14
59;0.430506644;0.569493356;1;-5.11E-14
60;0.468588924;0.531411076;1;1.98E-12
61;0.463243106;0.536756894;1;-7.99E-14
62;0.479999334;0.520000666;1;-7.37E-14
63;0.497627929;0.502372071;1;-3.20E-14
64;0.516024791;0.483975209;1;-1.09E-13
65;0.535167248;0.464832752;1;3.66E-14
66;0.555040486;0.444959514;1;-8.93E-14
67;0.575625737;0.424374263;1;-3.24E-14
68;0.59689623;0.40310377;1;8.38E-14
69;0.618814813;0.381185187;1;-7.37E-14
70;0.641332044;0.358667956;1;-6.46E-14
71;0.664384446;0.335615554;1;-8.04E-14
72;0.68789288;0.31210712;1;-1.49E-13
73;0.71176105;0.28823895;1;3.93E-14
74;0.735874226;0.264125774;1;-1.26E-13
75;0.760098264;0.239901736;1;6.26E-14
76;0.784279065;0.215720935;1;-1.07E-13
77;0.808242576;0.191757424;1;-6.20E-14
78;0.8317955;0.1682045;1;-1.55E-13
79;0.854726824;0.145273176;1;-4.80E-14
80;0.876810282;0.123189718;1;-1.15E-13
81;0.897807843;0.102192157;1;-7.95E-14
82;0.917474224;0.082525776;1;-9.81E-14
83;0.9355624;0.0644376;1;-6.62E-14
84;0.951829979;0.048170021;1;-9.79E-14
85;0.966046204;0.033953796;1;-1.21E-13
86;0.977999297;0.022000703;1;-1.47E-13
87;0.987503745;0.012496255;1;-1.12E-13
88;0.9944071;0.0055929;1;-1.80E-14
