A;R;T;RT;TR
0;0.125239951;0.874760049;1;-1.44E-14
1;0.125184958;0.874815042;1;3.20E-14
2;0.125020012;0.874979988;1;6.33E-15
3;0.124745212;0.875254788;1;-1.47E-14
4;0.124360723;0.875639277;1;-8.44E-15
5;0.123866779;0.876133221;1;3.19E-14
6;0.12326368;0.87673632;1;-3.38E-14
7;0.122551797;0.877448203;1;2.33E-15
8;0.12173157;0.87826843;1;-3.11E-15
9;0.120803516;0.879196484;1;-2.80E-14
10;0.119768226;0.880231774;1;-1.62E-14
11;0.118626373;0.881373627;1;-2.95E-14
12;0.117378712;0.882621288;1;-5.55E-15
13;0.116026089;0.883973911;1;-2.44E-14
14;0.114569442;0.885430558;1;2.38E-14
15;0.113009806;0.886990194;1;-4.00E-15
16;0.111348322;0.888651678;1;-2.44E-15
17;0.10958624;0.89041376;1;-8.88E-16
18;0.107724926;0.892275074;1;-4.88E-15
19;0.10576587;0.89423413;1;1.55E-14
20;0.10371069;0.89628931;1;2.03E-14
21;0.101561143;0.898438857;1;-2.66E-15
22;0.099319133;0.900680867;1;3.61E-14
23;0.096986717;0.903013283;1;-1.69E-14
24;0.094566122;0.905433878;1;1.43E-14
25;0.092059747;0.907940253;1;2.42E-14
26;0.089470185;0.910529815;1;-6.00E-15
27;0.086800233;0.913199767;1;2.19E-14
28;0.084052908;0.915947092;1;2.05E-14
29;0.081231469;0.918768531;1;-6.22E-15
30;0.078339435;0.921660565;1;2.44E-15
31;0.075380615;0.924619385;1;-2.40E-14
32;0.07235913;0.92764087;1;6.66E-16
33;0.069279453;0.930720547;1;2.43E-14
34;0.066146438;0.933853562;1;2.09E-14
35;0.062965366;0.937034634;1;3.66E-15
36;0.059741991;0.940258009;1;2.70E-14
37;0.056482591;0.943517409;1;-4.04E-14
38;0.053194027;0.946805973;1;-1.55E-15
39;0.049883802;0.950116198;1;9.44E-15
40;0.046560138;0.953439862;1;2.35E-14
41;0.043232046;0.956767954;1;7.99E-15
42;0.03990941;0.96009059;1;-6.66E-15
43;0.036603075;0.963396925;1;-4.15E-14
44;0.033324946;0.966675054;1;-3.02E-14
45;0.030088084;0.969911916;1;2.93E-14
46;0.026906826;0.973093174;1;1.25E-14
47;0.023796894;0.976203106;1;1.61E-14
48;0.020775535;0.979224465;1;-1.51E-14
49;0.017861653;0.982138347;1;2.11E-15
50;0.015075971;0.984924029;1;-2.33E-14
51;0.012441206;0.987558794;1;-2.44E-14
52;0.009982266;0.990017734;1;1.64E-14
53;0.007726474;0.992273526;1;2.19E-14
54;0.005703839;0.994296161;1;-4.00E-15
55;0.003947365;0.996052635;1;-6.88E-15
56;0.002493412;0.997506588;1;0
57;0.001382131;0.998617869;1;7.11E-15
58;6.58E-04;0.999342063;1;4.03E-14
59;3.70E-04;0.999630113;1;-4.62E-14
60;5.70E-04;0.999429627;1;7.22E-15
61;0.001477335;0.998522665;1;7.99E-15
62;0.002738949;0.997261051;1;2.42E-14
63;0.00482548;0.99517452;1;8.44E-15
64;0.007710803;0.992289197;1;-3.29E-14
65;0.011496897;0.988503103;1;3.24E-14
66;0.016303356;0.983696644;1;-3.35E-14
67;0.02226901;0.97773099;1;3.40E-14
68;0.029555393;0.970444607;1;4.64E-14
69;0.038351076;0.961648924;1;-1.07E-14
70;0.048876849;0.951123151;1;4.77E-14
71;0.061391791;0.938608209;1;6.66E-15
72;0.076200268;0.923799732;1;1.50E-14
73;0.093659757;0.906340243;1;5.55E-15
74;0.114189222;0.885810778;1;2.30E-14
75;0.138277333;0.861722667;1;3.46E-14
76;0.166489162;0.833510838;1;1.44E-14
77;0.199468765;0.800531235;1;-4.66E-15
78;0.237933117;0.762066883;1;3.03E-14
79;0.282649758;0.717350242;1;2.48E-14
80;0.33438592;0.66561408;1;2.84E-14
81;0.393810838;0.606189162;1;1.53E-14
82;0.461326483;0.538673517;1;2.00E-15
83;0.536799119;0.463200881;1;5.44E-14
84;0.619174332;0.380825668;1;2.60E-14
85;0.705998554;0.294001446;1;2.22E-14
86;0.792960214;0.207039786;1;-3.33E-15
87;0.873701832;0.126298168;1;1.02E-14
88;0.940268069;0.059731931;1;1.87E-14
