A;R;T;RT;TR
0;0.171806976;0.828193024;1;-4.44E-15
1;0.171856665;0.828143335;1;1.10E-13
2;0.172005835;0.827994165;1;-8.59E-14
3;0.172254798;0.827745202;1;-2.35E-14
4;0.172604076;0.827395924;1;-8.44E-15
5;0.173054402;0.826945598;1;5.91E-14
6;0.173606727;0.826393273;1;-5.97E-14
7;0.174262223;0.825737777;1;-2.66E-15
8;0.175022288;0.824977712;1;1.13E-13
9;0.175888552;0.824111448;1;-8.15E-14
10;0.176862882;0.823137118;1;1.33E-15
11;0.177947389;0.822052611;1;-2.44E-13
12;0.179144431;0.820855569;1;-1.30E-13
13;0.180456623;0.819543377;1;5.13E-14
14;0.181886841;0.818113159;1;-1.62E-13
15;0.18343823;0.81656177;1;2.65E-13
16;0.185114209;0.814885791;1;-2.24E-13
17;0.186918482;0.813081518;1;1.97E-14
18;0.188855043;0.811144957;1;5.72E-14
19;0.190928187;0.809071813;1;-1.41E-13
20;0.193142516;0.806857484;1;-1.02E-14
21;0.195502952;0.804497048;1;-4.33E-14
22;0.198014743;0.801985257;1;5.00E-15
23;0.200683478;0.799316522;1;-4.60E-14
24;0.203515093;0.796484907;1;-1.11E-14
25;0.206515885;0.793484115;1;4.31E-14
26;0.209692521;0.790307479;1;-2.71E-14
27;0.213052053;0.786947947;1;-7.42E-14
28;0.216601924;0.783398076;1;7.65E-14
29;0.220349988;0.779650012;1;-5.77E-15
30;0.224304514;0.775695486;1;9.88E-15
31;0.228474203;0.771525797;1;-1.11E-14
32;0.232868197;0.767131803;1;-5.04E-14
33;0.237496091;0.762503909;1;-9.81E-14
34;0.242367947;0.757632053;1;6.04E-14
35;0.247494299;0.752505701;1;-7.26E-14
36;0.252886167;0.747113833;1;-1.07E-14
37;0.258555063;0.741444937;1;-2.89E-14
38;0.264512996;0.735487004;1;-8.13E-14
39;0.270772482;0.729227518;1;-1.57E-13
40;0.277346538;0.722653462;1;-4.24E-14
41;0.284248684;0.715751316;1;-3.11E-15
42;0.291492938;0.708507062;1;-2.15E-14
43;0.299093799;0.700906201;1;-6.95E-14
44;0.307066231;0.692933769;1;6.00E-14
45;0.315425633;0.684574367;1;-6.22E-15
46;0.324187803;0.675812197;1;-6.93E-14
47;0.333368882;0.666631118;1;-1.29E-13
48;0.342985293;0.657014707;1;4.44E-15
49;0.353053647;0.646946353;1;3.20E-14
50;0.363590637;0.636409363;1;-3.62E-14
51;0.374612894;0.625387106;1;5.38E-14
52;0.38613681;0.61386319;1;-1.93E-14
53;0.398178298;0.601821702;1;1.70E-14
54;0.410752473;0.589247527;1;5.91E-14
55;0.423873169;0.576126831;1;3.35E-14
56;0.437552121;0.562447879;1;-5.91E-14
57;0.451797175;0.548202825;1;2.42E-14
58;0.466606966;0.533393034;1;-2.07E-14
59;0.481945458;0.518054542;1;-1.18E-13
60;0.497398858;0.502601142;1;-4.44E-16
61;0.515729211;0.484270789;1;6.66E-14
62;0.532466988;0.467533012;1;-6.71E-14
63;0.55020838;0.44979162;1;-6.79E-14
64;0.568592606;0.431407394;1;-6.06E-14
65;0.587560668;0.412439332;1;-2.31E-14
66;0.607075859;0.392924141;1;-4.44E-15
67;0.627100371;0.372899629;1;-4.55E-14
68;0.64758985;0.35241015;1;6.44E-14
69;0.668491169;0.331508831;1;-1.55E-14
70;0.689741111;0.310258889;1;-4.42E-14
71;0.711265414;0.288734586;1;-1.82E-14
72;0.732978051;0.267021949;1;-2.84E-14
73;0.754780736;0.245219264;1;5.51E-14
74;0.776562683;0.223437317;1;4.35E-14
75;0.798200653;0.201799347;1;-3.91E-14
76;0.819559358;0.180440642;1;-4.24E-14
77;0.840492257;0.159507743;1;-1.37E-13
78;0.860842803;0.139157197;1;-1.29E-13
79;0.880446157;0.119553843;1;2.11E-15
80;0.899131413;0.100868587;1;-2.78E-14
81;0.916724292;0.083275708;1;3.06E-14
82;0.933050307;0.066949693;1;6.18E-14
83;0.947938301;0.052061699;1;-1.50E-13
84;0.961224279;0.038775721;1;8.05E-14
85;0.972755396;0.027244604;1;2.94E-14
86;0.982393948;0.017606052;1;3.33E-14
87;0.990021175;0.009978825;1;-5.40E-14
88;0.995540717;0.004459283;1;-2.29E-14
