A;R;T;RT;TR
0;0.15480911;0.84519089;1;6.55E-15
1;0.154721406;0.845278594;1;-7.77E-15
2;0.154464127;0.845535873;1;3.75E-14
3;0.154051668;0.845948332;1;-3.11E-15
4;0.153500433;0.846499567;1;-3.73E-14
5;0.152823644;0.847176356;1;-1.44E-14
6;0.152029567;0.847970433;1;9.88E-15
7;0.151122192;0.848877808;1;1.32E-14
8;0.150102711;0.849897289;1;-3.71E-14
9;0.148970841;0.851029159;1;-2.44E-14
10;0.147725707;0.852274293;1;-1.33E-15
11;0.146366342;0.853633658;1;-1.55E-15
12;0.144891929;0.855108071;1;7.11E-15
13;0.143301909;0.856698091;1;-1.60E-14
14;0.141596003;0.858403997;1;-1.15E-14
15;0.139774214;0.860225786;1;-6.44E-15
16;0.137836805;0.862163195;1;2.15E-14
17;0.135784282;0.864215718;1;-1.78E-14
18;0.133617376;0.866382624;1;-7.55E-15
19;0.131337032;0.868662968;1;-2.66E-15
20;0.128944398;0.871055602;1;2.49E-14
21;0.126440824;0.873559176;1;-2.51E-14
22;0.123827854;0.876172146;1;-2.55E-14
23;0.121107235;0.878892765;1;1.71E-14
24;0.118280919;0.881719081;1;-2.49E-14
25;0.115351071;0.884648929;1;-2.84E-14
26;0.112320081;0.887679919;1;2.83E-14
27;0.109190576;0.890809424;1;4.37E-14
28;0.105965437;0.894034563;1;2.09E-14
29;0.102647821;0.897352179;1;-4.29E-14
30;0.099241182;0.900758818;1;-3.13E-14
31;0.095749301;0.904250699;1;4.04E-14
32;0.092176313;0.907823687;1;-3.77E-15
33;0.088526751;0.911473249;1;3.11E-15
34;0.084805579;0.915194421;1;-3.66E-14
35;0.081018245;0.918981755;1;-8.22E-15
36;0.077170733;0.922829267;1;-2.66E-15
37;0.073269621;0.926730379;1;1.74E-14
38;0.069322149;0.930677851;1;6.33E-15
39;0.065336291;0.934663709;1;6.95E-14
40;0.061320838;0.938679162;1;-1.41E-13
41;0.057285481;0.942714519;1;-1.53E-14
42;0.053240914;0.946759086;1;2.79E-14
43;0.04919893;0.95080107;1;-1.80E-14
44;0.045172539;0.954827461;1;-2.82E-14
45;0.041176083;0.958823917;1;-1.40E-14
46;0.03722537;0.96277463;1;1.17E-14
47;0.033337807;0.966662193;1;-1.09E-14
48;0.029532557;0.970467443;1;-9.26E-14
49;0.025830694;0.974169306;1;1.51E-14
50;0.02225539;0.97774461;1;4.15E-14
51;0.018832107;0.981167893;1;8.95E-14
52;0.01558882;0.98441118;1;-1.09E-14
53;0.012556275;0.987443725;1;-1.05E-13
54;0.009768274;0.990231726;1;-2.11E-14
55;0.007262023;0.992737977;1;-4.82E-14
56;0.005078529;0.994921471;1;1.10E-14
57;0.00326309;0.99673691;1;1.20E-13
58;0.001865869;0.998134131;1;-9.33E-15
59;9.43E-04;0.999057395;1;1.13E-14
60;5.55E-04;0.999444525;1;4.07E-14
61;7.74E-04;0.999225828;1;1.10E-14
62;0.001677331;0.998322669;1;2.40E-14
63;0.003354763;0.996645237;1;-2.69E-14
64;0.005914445;0.994085555;1;2.66E-14
65;0.010881651;0.989118349;1;4.72E-12
66;0.01402484;0.98597516;1;4.44E-16
67;0.019955653;0.980044347;1;5.77E-15
68;0.027316381;0.972683619;1;-8.88E-16
69;0.0363173;0.9636827;1;7.88E-15
70;0.047194462;0.952805538;1;-1.91E-14
71;0.060221209;0.939778791;1;-6.24E-14
72;0.075715367;0.924284633;1;-1.07E-13
73;0.094046304;0.905953696;1;9.46E-14
74;0.115641843;0.884358157;1;9.07E-14
75;0.140994212;0.859005788;1;3.18E-14
76;0.170663365;0.829336635;1;-5.53E-14
77;0.205274767;0.794725233;1;1.34E-14
78;0.245506755;0.754493245;1;3.06E-14
79;0.292059731;0.707940269;1;5.16E-14
80;0.345595436;0.654404564;1;4.22E-14
81;0.406629859;0.593370141;1;3.01E-14
82;0.47535946;0.52464054;1;2.74E-14
83;0.551401571;0.448598429;1;2.62E-14
84;0.633444583;0.366555417;1;8.88E-15
85;0.718844827;0.281155173;1;-6.44E-15
86;0.803285642;0.196714358;1;2.55E-14
87;0.880718006;0.119281994;1;4.44E-16
88;0.943863593;0.056136407;1;2.00E-14
