x=0;x=0;x=3;x=3;x=6;x=6;x=5.8ta;x=5.8ta;x=5.8tb;x=5.8tb;x=5.8aa;x=5.8aa;x=5.8ab;x=5.8ab;x=8.8;x=8.8
I;B;I;B;I;B;I;B;I;B;I;B;I;B;I;B
0;0.08;0;0.07;0;0.06;0;0.08;0;-0.18;0;-0.02;0;0.22;0;-0.07
0.249;0.13;0.249;0.11;0.249;0.12;0.262;-0.25;0.259;-0.36;0.254;0.24;0.255;0.43;0.254;0.12
0.505;0.2;0.505;0.19;0.505;0.21;0.502;-0.55;0.505;-0.51;0.492;0.57;0.501;0.64;0.502;0.28
0.759;0.27;0.759;0.27;0.759;0.3;0.76;-0.94;0.751;-0.73;0.75;0.9;0.756;0.89;0.757;0.46
1.007;0.33;1.007;0.33;1.007;0.36;1;-1.26;1.003;-0.93;1.004;1.26;0.997;1.11;1.001;0.64
1.249;0.41;1.249;0.39;1.249;0.47;1.251;-1.63;1.245;-1.09;1.249;1.63;1.256;1.37;1.251;0.82
1.513;0.48;1.513;0.47;1.513;0.64;1.503;-2.01;1.5;-1.32;1.499;2.01;1.502;1.63;1.503;0.99
1.757;0.53;1.757;0.54;1.757;0.78;1.749;-2.41;1.747;-1.49;1.75;2.41;1.757;1.9;1.748;1.18
1.997;0.58;1.997;0.6;1.997;0.68;2.01;-2.81;1.997;-1.72;2.008;2.81;2.005;2.18;1.999;1.36
2.251;0.63;2.251;0.65;2.251;0.85;2.255;-3.17;2.257;-1.98;2.254;3.19;2.249;2.44;2.25;1.55
2.505;0.73;2.505;0.73;2.505;0.97;2.499;-3.59;2.502;-2.18;2.503;3.58;2.499;2.74;2.501;1.77
2.752;0.78;2.752;0.78;2.752;1.08;2.748;-3.97;2.752;-2.44;2.752;3.96;2.756;3.05;2.745;1.94
3.009;0.79;3.009;0.85;3.009;1.32;3;-4.38;2.993;-2.69;3.001;4.36;2.997;3.29;2.999;2.15
3.258;0.83;3.258;0.89;3.258;1.14;3.25;-4.81;3.246;-2.9;3.253;4.79;3.242;3.59;3.253;2.36
3.505;0.91;3.505;0.97;3.505;1.22;3.453;-5.15;3.493;-3.17;3.503;5.23;3.505;3.92;3.489;2.54
